
=== google-t5/t5-base ===
watching the people going to work,                und die Leute zu arbeiten sehen.                  zu sehr ähnelten.                                 
it’s famous for its [beach] volleyball courts,    Es ist berühmt für seine [Strand] Volleyballplätze,der berühmt ist für seine Volleyballfelder        
digitally enabled and transparent,                digital gestaltet und transparent,                digital besser ausgestattet und transparenter,    
I'm going to give you a little clue.              Ich gebe dir einen kleinen Hinweis.               gebe ich Ihnen einen kleinen Hinweis.             
and so it bolsters the colony health and their social immunity.und so stärkt es die Gesundheit der Kolonie und ihre soziale Immunität.Auf diese Weise wird die Gesundheit und soziale Sicherheit des Bienenvolks gestärkt.
and it actually sleeps four people.               Und es schläft eigentlich vier Leute.             können vier Leute darin schlafen.                 
I'll tell you: 158.                               Ich sage dir: 158.                                Ich verrate es Ihnen: 158.                        
Here you see, with felt and paper water bottles,  Hier sehen Sie, mit Filz und Papier Wasserflaschen,Hier sehen wir, mit Filz, Papier und Wasserflaschen,
So, we were talking about the differences         Also, wir sprachen über die Unterschiede          Also haben wir über die Unterschiede              
It's so unpredictable                             Es ist so unberechenbar.                          Es ist so unberechenbar                           
that the West still leads in terms of technological innovation.Die Kommission hat sich in diesem Zusammenhang mit der Frage der Entwicklung der Technologie befaßt.dass der Westen immer noch im Bereich technologischer Innovationen führend ist.
So right now, in my lab, we're combining          Also gerade in meinem Labor kombinieren wir       In meinem Labor kombinieren wir gerade zwei Methoden,
that in the next 10 years                         dass in den nächsten 10 Jahren                    dass in den nächsten 10 Jahren                    
This has been replicated over and over again      Das wurde immer wieder wiederholt.                Diese bedingten Motivatoren --                    
and we're the caterpillars                        Und wir sind die Katerpilzen.                     und wir sind die Raupen,                          
the dog is a surrogate for you,                   Der Hund ist ein Leihmutter für dich.             der Hund ein Stellvertreter für Sie ist,          
nothing would have happened.                      Es wäre nichts passiert.                          Die Beziehung war eins-zu-eins.                   
not for use in patients.                          nicht für den Einsatz bei Patienten.              nicht zur Anwendung bei Patienten.                
And they actually use the Nintendo Wii Remote.    Und sie benutzen tatsächlich den Nintendo Wii Remote.die in letzter Zeit viel Aufmerksamkeit bekommen haben
we are polluting so much                          Wir verschmutzen so viel.                         verursachen wir so viel Verschmutzung,            
the girl means to mean,                           Das Mädchen meint,                                Das Mädchen meint zu meinen,                      
and 18 of those are bats.                         Und 18 davon sind Fledermäuse.                    18 davon sind Fledermäuse.                        
and you need a controller,                        Und du brauchst einen Steuergerät.                und man braucht Steuerung.                        
who had studied the old Vatican mosaic techniques,die die alten Vatikanischen Mosaiktechniken studiert hatten,die die alten vatikanischen Mosaiktechniken studiert hat,
hundreds of thousands of DNA samples from people all over the world.\"Hunderttausende DNA-Probe von Menschen auf der ganzen Welt".und hunderttausende DNA-Proben aus der ganzen Welt sammeln.
you can lower their demand for oxygen,            Sie können ihren Sauerstoffbedarf senken,         und wir sollten das auf eine größere Spielwiese bringen.\"
One of the things I'm pointing out is that        Eine der Dinge, auf die ich hinweist, ist, dass   Ich will darauf hinaus,                           
Look around the room: chairs, wood,               Schauen Sie sich den Raum um: Stühle, Holz,       Sehen Sie sich hier im Raum um, Stühle, Holz.     
So a tremendous fund of knowledge                 Also ein riesiger Wissensfonds                    Ein unglaublicher Wissensvorrat,                  
is to reconcile three time scales:                ist es, drei Zeitskalien zu vereinbaren:          und die langfristige Entwicklung der Umwelt.      
They just make it [with] nuts or something.       Sie machen es einfach mit Nüssen oder so.         Die bereiten es mit Nüssen oder sowas zu.         
vanish in my face.                                Ich habe mich in meinem Gesicht verschwendet.     vor meinen Augen verschwinden.                    
That was why I put it as a single point up there. Deshalb habe ich es als einen Punkt oben gestellt.Darum habe ich sie hier als einzelnen Punkt.      
It is, I agree, a nice thing to do.               Es ist, ich stimme zu, eine nette Sache zu tun.   Es ist, das gebe ich zu, ein nettes Projekt.      
that has been shuttle loomed                      die mit dem Shuttle gefahren ist.                 die schussgewebt wurde                            
They're originally from Crete. They're a seafaring people.Sie kommen ursprünglich aus Kreta, sind Seeleute. Sie kommen ursprünglich aus Kreta. Sie sind ein seefahrendes Volk.
and criminals are actually calling Tide \"liquid gold.\"Und Kriminelle nennen Tide tatsächlich "flüssiges Gold".Verbrecher nennen Tide tatsächlich \"flüssiges Gold\".
Chinese is always cheating, right?                Chinesen betrügen immer, oder?                    Die Chinesen betrügen immer, nicht?               
And you've all got an idea in your head of the answer.Und ihr habt alle eine Idee in eurem Kopf für die Antwort.Und sie alle haben eine Vorstellung von der Antwort im Kopf.
And for those who want to see more, I've got my book downstairs in the bookshop.Und für diejenigen, die mehr sehen wollen, habe ich mein Buch unten im Buchladen.Und für diejenigen, die mehr sehen wollen, mein Buch gibt es unten im Buchladen.
It turns out that approximately 200 million CAPTCHAsEs stellt sich heraus, dass etwa 200 Millionen CAPTCHAetwa 200 Millionen CAPTCHAs                       
And watching that videotape later that day        Und an diesem Tag sah ich das Video.              Und mir dieses Videoband später an jenem Tag anzusehen,
I'm showing it because --                         Ich zeige es Ihnen, weil...                       Ich zeige es, weil                                
our most prolific photographer has taken around 350 photos,Unser erfolgreichster Fotograf hat 350 Fotos gemacht.den produktivsten Fotografen mit ungefähr 350 Fotos
who has androgen insensitivity syndrome.          der Androgen-Unempfindlichkeitssyndrom hat.       und einen Androgenrezeptor-Defekt hat.            
understanding how the brain controls movement?    das Verständnis, wie das Gehirn Bewegung steuert? zu verstehen, wie das Gehirn Bewegung kontrolliert?
and I couldn't really find the answers I was looking for,und ich konnte die Antworten nicht finden, die ich suchte.fand aber nicht das, wonach ich eigentlich suchte.
because she came back --                          Weil sie zurückkam...                             denn sie schlug zurück -                          
very simple language, beautifully typeset.        Eine sehr einfache Sprache, wunderschön geschrieben.wenn eine dieser überbewerteten Personen erwähnt wird. (Lachen)
So wouldn't it be amazing if our phones           Wäre es nicht erstaunlich, wenn unsere Telefone   Wäre es nicht erstaunlich, wenn unsere Telefone   
and I felt like I happened upon                   Und ich fühlte mich wie ich passiert              Und es kam mir vor, als ob ich zufällig auf       
drilled a hole in the back of the pipe, took some of our firecrackers,Wir haben ein Loch im Rücken der Rohre gebohrt, einige unserer Feuerwerkskörper genommen.bohrten ein Loch in die Rückseite des Rohres, nahmen einige unserer Knallkörper,
So, there's all kinds of bacteria on the Earth    Also, es gibt alle Arten von Bakterien auf der ErdeEs gibt so viele verschiede Bakterien auf der Erde,
but while he was beginning to do his work,        Als er seine Arbeit begann,                       aber als er mit seiner Arbeit anfing,             
and put them between themselves and the person that is interviewing them.und zwischen sich und die Person, die sie befragt, stellen.Ihr neuer Geschäftspartner mag Ihnen die Hand schütteln
save 50,000 dollars on their taxes --             Sie sparen 50.000 Dollar auf ihre Steuern.        jedes Jahr 100.000 Dollar an den Verein zur Hungerbekämpfung zu spenden,
and I'll go through each of these.                Und ich werde jedes von ihnen durchgehen.         auf die ich im Einzelnen eingehen möchte.         
That's what progress is about.                    Das ist, was Fortschritt bedeutet.                Das ist es, worum es beim Fortschritt geht.       
Since we had never been separated,                Da wir nie getrennt waren,                        Weil wir noch nie getrennt gewesen waren          
Robotics had really been about interacting with things,Die Robotik war wirklich über die Interaktion mit Dingen,Bei der Robotertechnik war es immer darum gegangen, mit Dingen zu interagieren,
It isn't some cultic thing. (Laughter)            Es ist keine Kultsache.                           Es ist auch nicht so ein kultisches Ding. (Gelächter)
I'm looking at you, North Carolina.               Ich sehe dich an, North Carolina.                 Ich schaue hierbei dich an, North Carolina.       
are sitting still                                 Sie sitzen still.                                 liegen still da                                   
Again, we think that bacteria invented that,      Wir glauben, dass Bakterien das erfunden haben.   Wie bereits erwähnt, denken wir, dass Bakterien das erfunden haben
you get some synergy of ideas                     Sie bekommen eine synergetische Idee.             und dann bekommen Sie Synergie von Ideen,         
But I just know that nature --                    Aber ich weiß nur, dass die Natur...              und ich möchte keine Architektur so entwerfen.    
learn tools to solve their family conflicts       die Hilfsmittel lernen, um Familienkonflikte zu lösenMethoden erlernen, um Familienkonflikte zu lösen, 
and it's a mistake to try to treat complex psychiatric disordersund es ist ein Fehler, komplexe psychiatrische Störungen zu behandeln.und es ein Fehler ist, komplexe psychische Störungen
BLEU score: 22.20862240505321

=== facebook/mbart-large-50-many-to-many-mmt ===
source                                            translation                                       reference                                         
to the atom that it hits.                         auf das Atom, das es trifft.                      vom Atom, auf welches er trifft.                  
People are more likely to support the use         Menschen sind wahrscheinlicher, die Verwendung zu unterstützenDie Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,Das ist, warum in Verhandlungen, oft, wenn die Dinge hart werden,und ihn wie einen Freund zu behandeln,            
why the buildings failed.                         warum die Gebäude gescheitert sind.               warum die Gebäude nicht standhielten.             
We have confusion about what we should think about a new technology.Wir haben Verwirrung darüber, was wir über eine neue Technologie denken sollten.Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people            virtuell wie dies und zeigen die Menschen         wie hier zu sehen ist, und den Menschen           
and I professionally watch YouTube videos.        und ich sehe professionell YouTube-Videos.        Beruflich schaue ich mir YouTube-Videos an.       
we lived for all those years,                     wir lebten all diese Jahre,                       lebten wir all die Jahre,                         
GH: Oh, D and F -- too familiar.                  GH: Oh, D und F -- zu vertraut.                   Nun, sie hat C, G, H, A, E ausgesucht.            
which is around 12,000 years old.                 das etwa 12.000 Jahre alt ist.                    der etwa 12000 Jahre alt ist.                     
It was no big deal, but it was a latrine.         Es war keine große Sache, aber es war eine Toilette.Es war nichts Besonderes, aber es war eine Latrine.
Even in the midst of terrible destruction and death and chaos,Selbst mitten in der schrecklichen Zerstörung und Tod und Chaos,Sogar inmitten schrecklicher Zerstörung, Tod und Chaos,
to all the bright and dazzly things,              zu allen hellen und leuchtenden Dingen,           all die hellen und begeisternden Dinge,           
they even do little stunts.                       sie machen sogar kleine stunts.                   dass sie sogar kleine Stunts machen.              
And the list looked something like this a little while ago.Und die Liste sah vor kurzem so aus.              Und die Liste sah vor kurzem in etwa so aus.      
but also as a political program.                  aber auch als politisches Programm.               sondern auch als politisches Programm.            
comes straight down from the mushroom cloud that goes up.kommt geradeaus von der Pilzwolke, die nach oben geht.direkt vom Atompilz runter kommt.                 
Nothing with a face Monday through Friday.        Nichts mit einem Gesicht von Montag bis Freitag.  Nichts mit einem Gesicht von Montag bis Freitag.  
of all other forms of life combined.              von allen anderen Lebensformen kombiniert.        aller anderen Lebewesen zusammen.                 
And the story of the Intermittent Absorption Refrigerator.Und die Geschichte des Intermittenten Absorptions-Kühlers.Es sind zwei Bereiche, durch Abstand getrennt sind.
\"Moon is one with God.                           \"Die Sonne ist eins mit Gott.                    \"Moon ist eins mit Gott.                         
Take the goggles off. Take the goggles off!       Entfernen Sie die Brillen. Entfernen Sie die Brillen!Nimm die Schwimmbrille ab. Nimm die Schwimmbrille ab!
The Temple of Dendur at the Metropolitan in New York -- it's a very somber place.Der Tempel von Dendur im Metropolitan in New York ist ein sehr düsterer Ort.Der Tempel von Dendur im Metropolitan in New York -- ein sehr trister Ort.
but they use those same wings to flip over        aber sie benutzen die gleichen Flügel, um sich zu drehenaber sie benutzen dieselben Flügel, um sich umzudrehen
totally trying to capture what cinema is for me,  total versuchen, zu erfassen, was Kino für mich ist,versucht wirklich total einzufangen, was Kino für mich bedeutet,
to be a worthless artifact.                       ein wertloses Artefakt zu sein.                   als wertlose Artefakte betrachtete.               
and they weren't going to let anyone              und sie wollten niemanden                         und sie würden sie sich von niemandem             
to mimic a movement or a facial expression,       um eine Bewegung oder einen Gesichtsausdruck zu imitieren,eine Bewegung oder einen Gesichtsausdruck zu imitieren,
a giant mushroom.                                 ein riesiger Pilz.                                ein riesiger Pilz.                                
and share ideas for free.\"                       und Ideen kostenlos teilen.\"                     und Ideen austauschen, umsonst.\"                 
the U.S. Navy had a system that was secret at the time,die US Navy hatte ein System, das damals geheim war,verfügte die US-Marine über ein zu der Zeit geheimes System
We had about 20 people who made donations --      Wir hatten etwa 20 Menschen, die Spenden machten. Wir hatten etwa 20 Leute, welche Geld gespendet hatten --
watching the people going to work,                die Leute beobachten, die arbeiten,               zu sehr ähnelten.                                 
it’s famous for its [beach] volleyball courts,    Es ist berühmt für seine [Strand] Volleyballplätze,der berühmt ist für seine Volleyballfelder        
digitally enabled and transparent,                digital aktiviert und transparent,                digital besser ausgestattet und transparenter,    
I'm going to give you a little clue.              Ich werde Ihnen einen kleinen Hinweis geben.      gebe ich Ihnen einen kleinen Hinweis.             
and so it bolsters the colony health and their social immunity.und so stärkt es die Gesundheit der Kolonie und ihre soziale Immunität.Auf diese Weise wird die Gesundheit und soziale Sicherheit des Bienenvolks gestärkt.
and it actually sleeps four people.               und es schläft tatsächlich vier Personen.         können vier Leute darin schlafen.                 
I'll tell you: 158.                               Ich sage Ihnen: 158.                              Ich verrate es Ihnen: 158.                        
Here you see, with felt and paper water bottles,  Hier sehen Sie, mit Filz und Papier Wasserflaschen,Hier sehen wir, mit Filz, Papier und Wasserflaschen,
So, we were talking about the differences         Also, wir sprachen über die Unterschiede          Also haben wir über die Unterschiede              
It's so unpredictable                             Es ist so unvorhersehbar                          Es ist so unberechenbar                           
that the West still leads in terms of technological innovation.dass der Westen im Hinblick auf technologische Innovation immer noch führend ist.dass der Westen immer noch im Bereich technologischer Innovationen führend ist.
So right now, in my lab, we're combining          So jetzt, in meinem Labor, kombinieren wir        In meinem Labor kombinieren wir gerade zwei Methoden,
that in the next 10 years                         dass in den nächsten 10 Jahren                    dass in den nächsten 10 Jahren                    
This has been replicated over and over again      Dies wurde wiederholt und wiederholt              Diese bedingten Motivatoren --                    
and we're the caterpillars                        und wir sind die Pilze                            und wir sind die Raupen,                          
the dog is a surrogate for you,                   der Hund ist ein Ersatz für Sie,                  der Hund ein Stellvertreter für Sie ist,          
nothing would have happened.                      nichts hätte geschehen.                           Die Beziehung war eins-zu-eins.                   
not for use in patients.                          nicht für den Einsatz bei Patienten.              nicht zur Anwendung bei Patienten.                
And they actually use the Nintendo Wii Remote.    Und sie nutzen tatsächlich die Nintendo Wii Remote.die in letzter Zeit viel Aufmerksamkeit bekommen haben
we are polluting so much                          wir verunreinigen so viel                         verursachen wir so viel Verschmutzung,            
the girl means to mean,                           das Mädchen bedeutet zu bedeuten,                 Das Mädchen meint zu meinen,                      
and 18 of those are bats.                         und 18 davon sind Fledermäuse.                    18 davon sind Fledermäuse.                        
and you need a controller,                        und man braucht einen Controller,                 und man braucht Steuerung.                        
who had studied the old Vatican mosaic techniques,die die alten Vatikanischen Mosaiktechniken studiert hatten,die die alten vatikanischen Mosaiktechniken studiert hat,
hundreds of thousands of DNA samples from people all over the world.\"Hunderte von Tausenden von DNA-Proben von Menschen auf der ganzen Welt.\"und hunderttausende DNA-Proben aus der ganzen Welt sammeln.
you can lower their demand for oxygen,            Sie können ihre Nachfrage nach Sauerstoff senken, und wir sollten das auf eine größere Spielwiese bringen.\"
One of the things I'm pointing out is that        Einer der Dinge, die ich darauf hinweise, ist, dassIch will darauf hinaus,                           
Look around the room: chairs, wood,               Schauen Sie sich den Raum um: Stühle, Holz,       Sehen Sie sich hier im Raum um, Stühle, Holz.     
So a tremendous fund of knowledge                 So ein gewaltiges Wissensfonds                    Ein unglaublicher Wissensvorrat,                  
is to reconcile three time scales:                besteht darin, drei Zeitschalen zu vereinbaren:   und die langfristige Entwicklung der Umwelt.      
They just make it [with] nuts or something.       Sie machen es einfach mit Nüssen oder etwas.      Die bereiten es mit Nüssen oder sowas zu.         
vanish in my face.                                verschwinden in meinem Gesicht.                   vor meinen Augen verschwinden.                    
That was why I put it as a single point up there. Deshalb habe ich es als einen einzigen Punkt dort oben gesetzt.Darum habe ich sie hier als einzelnen Punkt.      
It is, I agree, a nice thing to do.               Es ist, ich stimme zu, eine schöne Sache zu tun.  Es ist, das gebe ich zu, ein nettes Projekt.      
that has been shuttle loomed                      dass der Shuttle gestartet wurde                  die schussgewebt wurde                            
They're originally from Crete. They're a seafaring people.Sie stammen ursprünglich von Kreta. Sie sind ein Seefahrer.Sie kommen ursprünglich aus Kreta. Sie sind ein seefahrendes Volk.
and criminals are actually calling Tide \"liquid gold.\"und Kriminelle nennen Tide tatsächlich \"flüssiges Gold\".Verbrecher nennen Tide tatsächlich \"flüssiges Gold\".
Chinese is always cheating, right?                Chinesisch betrügt immer, nicht wahr?             Die Chinesen betrügen immer, nicht?               
And you've all got an idea in your head of the answer.Und Sie alle haben eine Idee in Ihrem Kopf der Antwort.Und sie alle haben eine Vorstellung von der Antwort im Kopf.
And for those who want to see more, I've got my book downstairs in the bookshop.Und für diejenigen, die mehr sehen wollen, habe ich mein Buch unten in der Buchhandlung.Und für diejenigen, die mehr sehen wollen, mein Buch gibt es unten im Buchladen.
It turns out that approximately 200 million CAPTCHAsEs stellt sich heraus, dass ca. 200 Millionen CAPTCHAsetwa 200 Millionen CAPTCHAs                       
And watching that videotape later that day        Und ich sah die Videotape später an diesem Tag    Und mir dieses Videoband später an jenem Tag anzusehen,
I'm showing it because --                         Ich zeige es, weil...                             Ich zeige es, weil                                
our most prolific photographer has taken around 350 photos,unser fruchtbarste Fotograf hat ca. 350 Fotos gemacht,den produktivsten Fotografen mit ungefähr 350 Fotos
who has androgen insensitivity syndrome.          die Androgen-Insensibilitätssyndrom hat.          und einen Androgenrezeptor-Defekt hat.            
understanding how the brain controls movement?    zu verstehen, wie der Gehirn Bewegung kontrolliert?zu verstehen, wie das Gehirn Bewegung kontrolliert?
and I couldn't really find the answers I was looking for,und ich konnte nicht wirklich die Antworten finden, die ich suchte,fand aber nicht das, wonach ich eigentlich suchte.
because she came back --                          weil sie zurückkam...                             denn sie schlug zurück -                          
very simple language, beautifully typeset.        sehr einfache Sprache, schön typiert.             wenn eine dieser überbewerteten Personen erwähnt wird. (Lachen)
So wouldn't it be amazing if our phones           So wäre es nicht erstaunlich, wenn unsere TelefoneWäre es nicht erstaunlich, wenn unsere Telefone   
and I felt like I happened upon                   und ich fühlte mich wie ich auf                   Und es kam mir vor, als ob ich zufällig auf       
drilled a hole in the back of the pipe, took some of our firecrackers,bohrte ein Loch in die Rückseite des Rohres, nahm einige unserer Feuerkratzer,bohrten ein Loch in die Rückseite des Rohres, nahmen einige unserer Knallkörper,
So, there's all kinds of bacteria on the Earth    So gibt es alle Arten von Bakterien auf der Erde  Es gibt so viele verschiede Bakterien auf der Erde,
but while he was beginning to do his work,        aber während er begann, seine Arbeit zu tun,      aber als er mit seiner Arbeit anfing,             
and put them between themselves and the person that is interviewing them.und setzen sie zwischen sich und der Person, die sie interviewt.Ihr neuer Geschäftspartner mag Ihnen die Hand schütteln
save 50,000 dollars on their taxes --             sparen Sie 50.000 Dollar auf ihre Steuern --      jedes Jahr 100.000 Dollar an den Verein zur Hungerbekämpfung zu spenden,
and I'll go through each of these.                und ich werde jede von diesen durchgehen.         auf die ich im Einzelnen eingehen möchte.         
That's what progress is about.                    Das ist der Fortschritt.                          Das ist es, worum es beim Fortschritt geht.       
Since we had never been separated,                Da wir nie getrennt waren,                        Weil wir noch nie getrennt gewesen waren          
Robotics had really been about interacting with things,Robotik war wirklich über die Interaktion mit Dingen,Bei der Robotertechnik war es immer darum gegangen, mit Dingen zu interagieren,
It isn't some cultic thing. (Laughter)            Es ist nicht etwas Kultisches. (Laughter)         Es ist auch nicht so ein kultisches Ding. (Gelächter)
I'm looking at you, North Carolina.               Ich sehe dich, North Carolina.                    Ich schaue hierbei dich an, North Carolina.       
are sitting still                                 Sie sitzen still                                  liegen still da                                   
Again, we think that bacteria invented that,      Wieder denken wir, dass die Bakterien das erfunden haben,Wie bereits erwähnt, denken wir, dass Bakterien das erfunden haben
you get some synergy of ideas                     Sie bekommen einige Synergie von Ideen            und dann bekommen Sie Synergie von Ideen,         
But I just know that nature --                    Aber ich weiß nur, dass die Natur...              und ich möchte keine Architektur so entwerfen.    
learn tools to solve their family conflicts       Lernen Sie Werkzeuge, um ihre Familienkonflikte zu lösenMethoden erlernen, um Familienkonflikte zu lösen, 
and it's a mistake to try to treat complex psychiatric disordersund es ist ein Fehler, komplexe psychiatrische Störungen zu behandelnund es ein Fehler ist, komplexe psychische Störungen
BLEU score: 24.984593369474695

=== DunnBC22/mbart-large-50-English_German_Translation ===
source                                            translation                                       reference                                         
to the atom that it hits.                         zu dem Atom, das er trifft.                       vom Atom, auf welches er trifft.                  
People are more likely to support the use         Menschen sind eher bereit, die Verwendung zu unterstützenDie Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,Deshalb werden Verhandlungen oft schwierig, wenn die Verhandlungen schwierig werden.und ihn wie einen Freund zu behandeln,            
why the buildings failed.                         warum die Gebäude nicht funktionieren.            warum die Gebäude nicht standhielten.             
We have confusion about what we should think about a new technology.Wir haben Zweifel, was wir über eine neue Technologie denken sollten.Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people            virtually like this and showing people            wie hier zu sehen ist, und den Menschen           
and I professionally watch YouTube videos.        Ich schaue regelmäßig YouTube-Videos.             Beruflich schaue ich mir YouTube-Videos an.       
we lived for all those years,                     Wir leben für alle diese Jahre,                   lebten wir all die Jahre,                         
GH: Oh, D and F -- too familiar.                  GH: Oh, D und F — doch recht vertraut.            Nun, sie hat C, G, H, A, E ausgesucht.            
which is around 12,000 years old.                 das etwa 12,000 Jahre alt ist.                    der etwa 12000 Jahre alt ist.                     
It was no big deal, but it was a latrine.         Es war keine große Sache, aber es war eine Laterne.Es war nichts Besonderes, aber es war eine Latrine.
Even in the midst of terrible destruction and death and chaos,Inmitten der Katastrophen und der Katastrophen und der Katastrophen und des Chaos,Sogar inmitten schrecklicher Zerstörung, Tod und Chaos,
to all the bright and dazzly things,              zu allen leuchtenden und leuchtenden Dingen,      all die hellen und begeisternden Dinge,           
they even do little stunts.                       sie sogar kleine Stunts machen.                   dass sie sogar kleine Stunts machen.              
And the list looked something like this a little while ago.Und die Liste war ein wenig vor ein paar Jahren wie folgt:Und die Liste sah vor kurzem in etwa so aus.      
but also as a political program.                  auch als politisches Programm.                    sondern auch als politisches Programm.            
comes straight down from the mushroom cloud that goes up.kommt direkt aus der Hühnerhöhle hervor.          direkt vom Atompilz runter kommt.                 
Nothing with a face Monday through Friday.        Nichts mit einem Gesicht Montag bis Freitag.      Nichts mit einem Gesicht von Montag bis Freitag.  
of all other forms of life combined.              alle anderen Lebensformen zusammengefasst.        aller anderen Lebewesen zusammen.                 
And the story of the Intermittent Absorption Refrigerator.Die Geschichte des Intermittenten Absorptionsspeichers.Es sind zwei Bereiche, durch Abstand getrennt sind.
\"Moon is one with God.                           \"Moon ist ein Mensch mit Gott.                   \"Moon ist eins mit Gott.                         
Take the goggles off. Take the goggles off!       Befreit die Augen. Befreit die Augen.             Nimm die Schwimmbrille ab. Nimm die Schwimmbrille ab!
The Temple of Dendur at the Metropolitan in New York -- it's a very somber place.Das Templet von Dendur am Metropolitan in New York — es ist ein sehr somber Ort.Der Tempel von Dendur im Metropolitan in New York -- ein sehr trister Ort.
but they use those same wings to flip over        aber sie benutzen diese gleichen Flügel, um sich zu bewegen.aber sie benutzen dieselben Flügel, um sich umzudrehen
totally trying to capture what cinema is for me,  völlig versucht, zu beschreiben, was für mich das Kino ist,versucht wirklich total einzufangen, was Kino für mich bedeutet,
to be a worthless artifact.                       ein wertloses Erzeugnis.                          als wertlose Artefakte betrachtete.               
and they weren't going to let anyone              und sie waren nicht bereit,                       und sie würden sie sich von niemandem             
to mimic a movement or a facial expression,       um eine Bewegung oder eine Gesichtsausdrücke zu mimicisieren,eine Bewegung oder einen Gesichtsausdruck zu imitieren,
a giant mushroom.                                 eine große Muschel.                               ein riesiger Pilz.                                
and share ideas for free.\"                       und austauschen Sie Ihre Ideen kostenlos.\"       und Ideen austauschen, umsonst.\"                 
the U.S. Navy had a system that was secret at the time,die U.S. Navy hatte ein System, das damals geheim war,verfügte die US-Marine über ein zu der Zeit geheimes System
We had about 20 people who made donations --      Wir hatten etwa 20 Personen, die Geldergaben machten —Wir hatten etwa 20 Leute, welche Geld gespendet hatten --
watching the people going to work,                bei der Arbeit die Menschen beobachten,           zu sehr ähnelten.                                 
it’s famous for its [beach] volleyball courts,    es ist bekannt für seine [Beach] volleyball-Staffeln,der berühmt ist für seine Volleyballfelder        
digitally enabled and transparent,                digital gesteuert und transparent,                digital besser ausgestattet und transparenter,    
I'm going to give you a little clue.              Ich gebe Ihnen einen kleinen Hinweis.             gebe ich Ihnen einen kleinen Hinweis.             
and so it bolsters the colony health and their social immunity.so stärkt sie die Gesundheit der Kolonien und ihre soziale Immunität.Auf diese Weise wird die Gesundheit und soziale Sicherheit des Bienenvolks gestärkt.
and it actually sleeps four people.               und tatsächlich schlafen vier Personen.           können vier Leute darin schlafen.                 
I'll tell you: 158.                               Siehe: 158.                                       Ich verrate es Ihnen: 158.                        
Here you see, with felt and paper water bottles,  Hier sehen Sie, mit Papier- und Kupferwasserbehältern,Hier sehen wir, mit Filz, Papier und Wasserflaschen,
So, we were talking about the differences         So, wir sprachen über die Unterschiede            Also haben wir über die Unterschiede              
It's so unpredictable                             Es ist so unwahrscheinlich                        Es ist so unberechenbar                           
that the West still leads in terms of technological innovation.dass der West noch auf technologische Innovationen zurückgeht.dass der Westen immer noch im Bereich technologischer Innovationen führend ist.
So right now, in my lab, we're combining          Im Labor geht es darum, dass wir zusammenarbeiten.In meinem Labor kombinieren wir gerade zwei Methoden,
that in the next 10 years                         in den nächsten zehn Jahren                       dass in den nächsten 10 Jahren                    
This has been replicated over and over again      Dies wurde über und über wieder reproduziert      Diese bedingten Motivatoren --                    
and we're the caterpillars                        und wir sind die Kaninchen                        und wir sind die Raupen,                          
the dog is a surrogate for you,                   der Hund ist für Sie ein Verwandter,              der Hund ein Stellvertreter für Sie ist,          
nothing would have happened.                      nichts hätte geschehen.                           Die Beziehung war eins-zu-eins.                   
not for use in patients.                          nicht für Patienten bestimmt.                     nicht zur Anwendung bei Patienten.                
And they actually use the Nintendo Wii Remote.    Und sie verwenden tatsächlich die Nintendo Wii Remote.die in letzter Zeit viel Aufmerksamkeit bekommen haben
we are polluting so much                          wir sind so schädlich                             verursachen wir so viel Verschmutzung,            
the girl means to mean,                           das Mädchen bedeutet,                             Das Mädchen meint zu meinen,                      
and 18 of those are bats.                         18 davon sind Vögel.                              18 davon sind Fledermäuse.                        
and you need a controller,                        Sie benötigen eine Steuerung,                     und man braucht Steuerung.                        
who had studied the old Vatican mosaic techniques,einer, der die alten Techniken des Vatikans studiert hatte,die die alten vatikanischen Mosaiktechniken studiert hat,
hundreds of thousands of DNA samples from people all over the world.\"Millionen von DNA-Sammlungen von Menschen aller Welt.\"und hunderttausende DNA-Proben aus der ganzen Welt sammeln.
you can lower their demand for oxygen,            Sie können ihre Nachfrage nach Oxygen senken,     und wir sollten das auf eine größere Spielwiese bringen.\"
One of the things I'm pointing out is that        Eine der Dinge, die ich anmerke, ist, dass        Ich will darauf hinaus,                           
Look around the room: chairs, wood,               Blick auf den Raum: Sessel, Holz,                 Sehen Sie sich hier im Raum um, Stühle, Holz.     
So a tremendous fund of knowledge                 So ein enormes Wissenskapital                     Ein unglaublicher Wissensvorrat,                  
is to reconcile three time scales:                die drei Zeitstufen zu bestimmen sind:            und die langfristige Entwicklung der Umwelt.      
They just make it [with] nuts or something.       Sie machen es mit Nüssen oder etwas anderem.      Die bereiten es mit Nüssen oder sowas zu.         
vanish in my face.                                in meinem Gesicht verbleiben.                     vor meinen Augen verschwinden.                    
That was why I put it as a single point up there. Deshalb habe ich es als einziger Punkt aufgeführt.Darum habe ich sie hier als einzelnen Punkt.      
It is, I agree, a nice thing to do.               Es ist, soweit ich weiß, eine gute Sache.         Es ist, das gebe ich zu, ein nettes Projekt.      
that has been shuttle loomed                      das Hubschrauben wurde geräumt                    die schussgewebt wurde                            
